District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Florida 17th,FL-17,Republican,Tom,Rooney,(TAHM ROO-nee),/tɑm 'ɹu.ni/,2008,1970,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,34.2,61.8,Redrawn,,,,,,41.8,58.2,R+,10,44.5,55.5,R+,9,80.1,6.3,11.4,1.1,0.3,0.8,,,,,,,35.6,64.4,Redrawn,,Redrawn,,104,,,,,,,,,,,,,,,41,58,99,44,55,,-10.2,-9.2,694462,527934,49044,98462,7898,2357,8767,563830,451382,35688,64393,6113,1726,4528
Florida 18th,FL-18,Republican,Brian,Mast,(BRAHY-uhn MAST),/'bɹaɪ.ən mæst/,2016,1980,Man,White - Non-Hispanic,Christian,No,Open - Ran for Senate and lost,43.1,53.6,Redrawn,,,,,,48.1,51.9,R+,4,51.7,48.3,R+,2,74.2,10.5,12.2,1.8,0.2,1.1,,,,,,,44.6,55.4,Redrawn,,Redrawn,,105,,,,,,,,,,,,,,,48,51,99,51,48,,-3.8,-2,699427,490338,84043,99561,12911,1339,11235,557944,414197,58602,67959,10022,1002,6162
Florida 19th,FL-19,Republican,Francis,Rooney,(FRANN-sis ROO-nee),/'fɹæn.sɪs 'ɹu.ni/,2016,1953,Man,White - Non-Hispanic,Roman Catholic,No,Open - Retired,34.1,65.9,32.7,64.6,,,,,39,61,R+,13,42.7,57.3,R+,11,77.2,5.7,14.8,1.3,0.2,0.9,31,166,35.1,184,"$53,878.00",224,34.1,65.9,33.7,66.3,36.6,63.4,106,,,,,246861,80824,159354,6683,109746,189833,,,,,39,60,99,42,57,,-13,-11,696429,504100,48193,124310,9386,1291,9149,569135,439097,32411,84305,7315,1001,5006
Florida 20th,FL-20,Democratic,Alcee,Hastings,(AL-see HAY-stingz),/'æl.si 'heɪ.stɪŋgz/,1992,1936,Man,Black - African-American,African Methodist,No,Re-elected,80.3,19.7,Redrawn,,,,,,82.8,17.2,D+,31,81.3,18.7,D+,28,25.2,47.5,22.6,2.6,0.2,1.9,,,,,,,80.3,19.7,Redrawn,,Redrawn,,107,,,,,,,,,,,,,,,83,17,100,81,19,,30.9,27.6,703209,152398,353590,162452,17926,1231,15612,523033,131678,248635,118013,13843,863,10001
Florida 21st,FL-21,Democratic,Lois,Frankel,(LOW-iss FRAYNK-uhl),/'loʊ.ɪs 'fɹeɪŋ.kəl/,2012,1948,Woman,White - Non-Hispanic,Jewish,No,Re-elected,62.7,35.1,Redrawn,,,,,,60.8,39.2,D+,9,63.8,36.2,D+,10,66.8,11.7,17.8,2.3,0.1,1.2,,,,,,,64.1,35.9,Redrawn,,Redrawn,,108,,,,,,,,,,,,,,,60,39,99,63,36,,8.9,10.1,689378,429055,93851,137674,16422,1175,11201,554416,370463,65059,98822,12519,820,6733
Florida 22nd,FL-22,Democratic,Ted,Deutch,(TED DOYCH),/tɛd dɔɪtʃ/,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Re-elected,58.9,41.1,Redrawn,,,,,,56.7,43.3,D+,5,58.7,41.3,D+,5,67.5,11.2,16.6,2.8,0.1,1.8,,,,,,,58.9,41.1,Redrawn,,Redrawn,,109,,,,,,,,,,,,,,,56,43,99,58,41,,4.7,5,693643,443788,89626,124060,19871,1019,15279,562571,379522,63226,93268,15581,804,10170
Florida 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,(DEB-ee WAH-ser-min SHUHLTS),/'dɛ.bi 'wɑ.səɹ.mɪn ʃʌlts/,2004,1966,Woman,White - Non-Hispanic,Jewish,No,Re-elected,56.7,40.5,Redrawn,,,,,,61.8,38.2,D+,10,62.4,37.6,D+,9,51.1,11.6,31.9,3.6,0.2,1.6,,,,,,,58.3,41.7,Redrawn,,Redrawn,,110,,,,,,,,,,,,,,,61,38,99,62,37,,9.8,8.7,695383,340184,86158,228644,25349,1595,13453,542450,277370,62833,172906,19661,1095,8585
Florida 24th,FL-24,Democratic,Frederica,Wilson,(FRED-rick-uh WILL-suhn),/'fɹɛd.ɹɪ.kə 'wɪl.sən/,2010,1942,Woman,Black - African-American,Episcopalian,No,Re-elected,100,0,Redrawn,,,,,,86.1,13.9,D+,34,84.3,15.7,D+,31,13.9,45.9,36.9,1.5,0.1,1.5,,,,,,,100,0,Redrawn,,Redrawn,,111,,,,,,,,,,,,,,,86,14,100,84,16,,34.1,30.6,697844,89549,337273,248912,9792,1040,11278,530066,73855,243559,195840,8031,714,8067
Florida 25th,FL-25,Republican,Mario,Diaz-Balart,(MAR-ee-oh DEE-azz buh-LART),/'mɑ.ɹi.oʊ 'di.æz bə.'lɑɹt/,2002,1961,Man,Hispanic - Cuban,Roman Catholic,No,Re-elected,37.6,62.4,Redrawn,,,,,,45.2,54.8,R+,7,40.8,59.2,R+,13,20,3.6,74.9,1,0.1,0.4,,,,,,,37.6,62.4,Redrawn,,Redrawn,,112,,,,,,,,,,,,,,,45,54,99,41,59,,-6.8,-12.8,692920,138922,26970,515366,6792,1124,3746,540846,108301,19364,404871,5353,741,2216
Florida 26th,FL-26,Republican,Carlos,Curbelo,"(KAR-lohs ker-BEL-oh) [first R is trilled, first O unrounded]",/'kɑr.los kəɹ.'bɛ.loʊ/,2014,1980,Man,Hispanic - Cuban,Roman Catholic,No,Re-elected,41.2,53,Redrawn,,,,,,55.8,44.2,D+,4,51.8,48.2,R+,2,18.9,10,68.3,1.7,0.1,1,,,,,,,43.7,56.3,Redrawn,,Redrawn,,113,,,,,,,,,,,,,,,55,44,99,52,48,,3.8,-1.9,696241,127112,77216,472680,11026,748,7459,530119,100427,53191,362064,8826,561,5050
Florida 27th,FL-27,Republican,Ileana,Ros-Lehtinen,(ill-ee-AH-nuh RAWS LAYT-nin),/ˌɪ.li.'ɑ.nə ɹɔs 'leɪt.nɪn/,1988,1952,Woman,Hispanic - Cuban,Episcopalian,No,Re-elected,45.1,54.9,0,100,,,,,53.4,46.6,D+,1,50.4,49.6,R+,3,24,4,69.1,1.9,0.1,0.9,,,,,,,45.1,54.9,Redrawn,,Redrawn,,114,,,,,,,,,,,,,,,53,46,99,50,49,,1.4,-3.3,698036,169539,29143,479637,12576,435,6706,569381,136921,22897,393720,10637,339,4867
Georgia 1st,GA-01,Republican,Buddy,Carter,(BUH-dee CAR-ter),/'bə.ɾi 'kɑɹ.ɾəɹ/,2014,1957,Man,White - Non-Hispanic,Methodist,No,Re-elected,0,100,39.1,60.9,40.9,56.4,R+,9,43,55.9,R+,8,44.7,55.3,R+,9,63.7,28.1,4.9,1.8,0.3,1.3,24.3,294,27.7,298,"$45,796.00",347,0,100,39.1,60.9,37,63,115,,,,,156512,61175,95337,0,92399,157181,269568,110190,151996,260148,111949,145460,259632,116029,143603,-9.1,-8.5,-9,691918,419688,205123,39664,11689,1980,13774,518703,330246,145605,25606,9097,1556,6593
Georgia 2nd,GA-02,Democratic,Sanford,Bishop,(SAN-ferd BISH-up),/'sæn.fəɹd 'bɪ.ʃəp/,1992,1947,Man,Black - African-American,Baptist,No,Re-elected,61.2,38.8,59.2,40.8,55,43.3,D+,5,58.6,40.8,D+,7,58.2,41.8,D+,4,45,48.6,4,1.1,0.3,0.9,17.9,403,23,377,"$35,347.00",425,61.2,38.8,59.2,40.8,63.8,36.2,116,,,,,162900,96363,66537,0,162751,92410,248103,136455,107361,262837,153998,107242,267814,155809,112005,4.9,7,4.5,690937,288405,352193,31536,7553,1677,9573,515612,232073,250833,20798,5833,1319,4756
Georgia 3rd,GA-03,Republican,Drew,Ferguson,(JROO FER-guh-suhn),/dʒɹu 'fɜɹ.gə.sən/,2016,1966/1967,Man,White - Non-Hispanic,,No,Open - Retired,31.7,68.3,0,100,32.8,64.3,R+,17,33,65.9,R+,19,34.2,65.8,R+,19,71,21.7,4.3,1.6,0.3,1,25.8,267,27.3,306,"$52,584.00",233,31.7,68.3,0,100,0,100,117,,,,,156277,0,156277,0,0,232380,311865,102155,200624,296218,97746,195071,293762,100498,193264,-17.4,-18.6,-19.5,697477,477844,158870,35149,11679,1692,12243,515563,366166,111992,22397,8394,1295,5319
Georgia 4th,GA-04,Democratic,Hank,Johnson,(HAYNK JAHN-suhn),/hæŋk 'dʒɑn.sən/,2006,1954,Man,Black - African-American,Soka Gakkai Buddhist,No,Re-elected,75.7,24.3,100,0,75.3,22.2,D+,26,73.6,25.6,D+,22,73.6,26.4,D+,20,31.1,54.7,8,4.5,0.2,1.5,30.5,179,37.6,154,"$50,668.00",268,75.7,24.3,100,0,73.6,26.4,118,,,,,161211,161211,0,0,208861,75041,298663,224907,66433,296933,218499,75951,307113,225977,81136,26.1,22.2,19.9,692084,190587,392460,63141,30367,1350,14179,504112,156967,275552,40166,22748,959,7720
Georgia 5th,GA-05,Democratic,John,Lewis,(JAHN LOO-iss),/dʒɑn 'lu.ɪs/,1986,1940,Man,Black - African-American,Baptist,No,Re-elected,84.4,15.6,100,0,85,11.9,D+,37,83.1,15.8,D+,32,84.9,15.1,D+,31,31.4,56,6.9,4,0.2,1.5,40.6,72,70.1,8,"$48,017.00",313,84.4,15.6,100,0,84.4,15.6,119,,,,,170326,170326,0,0,234330,43335,305754,259805,36385,290359,241217,45887,309112,262388,46724,36.6,32.1,31.2,689901,192780,403808,54552,25155,1324,12282,539971,169333,302354,37161,21719,1079,8325
Georgia 6th,GA-06,Republican,Tom,Price,(TAHM PRICE),/tɑm pɹaɪs/,2004,1954,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,38.3,61.7,34,66,46.8,48.3,R+,2,37.5,60.8,R+,14,40.5,59.5,R+,13,64.9,12.1,12,9.2,0.1,1.7,59.5,6,64.8,13,"$83,844.00",33,38.3,61.7,34,66,35.5,64.5,120,,,,,210504,71486,139018,0,104365,189669,331246,155077,160022,307096,115017,186807,298037,120560,177477,-1.9,-13.9,-13.2,692704,433874,84022,92523,65757,1088,15440,519945,337499,62792,62367,47906,774,8607
Georgia 7th,GA-07,Republican,Rob,Woodall,(RAHB WOOD-awl),/ɹɑb 'wʊ.ɾɔl/,2010,1970,Man,White - Non-Hispanic,Methodist,No,Re-elected,39.6,60.4,34.6,65.4,44.8,51.1,R+,4,38.3,60.2,R+,13,39.4,60.6,R+,14,52.9,16.7,16.9,11.8,0.2,1.5,40,76,46.4,77,"$69,201.00",89,39.6,60.4,34.6,65.4,37.8,62.2,121,,,,,173669,60112,113557,0,95377,156689,294972,132012,150845,263742,101065,158854,251475,99165,152310,-4.4,-13.1,-14.3,691120,342977,121398,131041,79630,1277,14797,489192,258577,81701,82793,57940,903,7278
Georgia 8th,GA-08,Republican,Austin,Scott,(AW-stin SKAHT),/'ɔ.stɪn skɑt/,2010,1969,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,32.4,67.6,0,100,34.4,63.3,R+,16,37.5,61.6,R+,14,38,62,R+,16,64.6,28,4.9,1.4,0.3,0.9,19.9,374,22.8,379,"$42,582.00",377,32.4,67.6,0,100,0,100,122,,,,,129938,0,129938,0,0,197789,265514,91360,168193,265963,99677,163908,262854,100004,162850,-15.9,-14.1,-15.6,691161,427469,203187,39682,9300,1684,9839,517611,334541,144744,25178,7058,1328,4762
Georgia 9th,GA-09,Republican,Doug,Collins,(DUHG KAH-linz),/dʌg 'kɑ.lɪnz/,2012,1966,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,100,19.3,80.7,19.3,77.8,R+,31,20.5,78.1,R+,31,24.5,75.5,R+,29,82.6,6.3,9,1.1,0.2,0.8,23,322,25.3,338,"$48,837.00",302,0,100,19.3,80.7,23.8,76.2,123,,,,,181047,34988,146059,0,60052,192101,297215,57468,231194,265551,54388,207498,262385,64381,198004,-31.2,-31.2,-29.2,693832,550911,45124,79806,7866,1660,8465,522084,431282,32849,46827,5558,1301,4267
Georgia 10th,GA-10,Republican,Jody,Hice,(JO-dee HICE),/'dʒoʊ.ɾi haɪs/,2014,1960,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,100,33.5,66.5,35.8,61.3,R+,14,36.3,62.5,R+,15,39.1,60.9,R+,15,69.2,23.6,4,2,0.2,1,25,284,28.6,284,"$49,033.00",300,0,100,33.5,66.5,0,100,124,,,,,196480,65777,130703,0,0,211065,315073,112691,193030,294851,107039,184160,289878,113346,176532,-14.3,-15.2,-14.6,689234,460154,170940,32508,13979,1312,10341,519419,359358,122823,20617,10592,996,5033
Georgia 11th,GA-11,Republican,Barry,Loudermilk,(BAIR-ee LOUD-er-milk),/'bɛ.ɹi 'laʊ.ɾəɹ.mɪlk/,2014,1963,Man,White - Non-Hispanic,Baptist,No,Re-elected,32.6,67.4,0,100,35.3,60.3,R+,14,31.5,66.9,R+,20,35,65,R+,19,71.5,14.6,9.4,2.8,0.2,1.4,41.2,65,43.9,94,"$69,662.00",88,32.6,67.4,0,100,31.4,68.6,125,,,,,161532,0,161532,0,90353,196968,329615,116457,198813,300276,94447,201014,293262,102718,190544,-14.2,-20,-18.7,693142,477347,104934,76058,19143,1550,14110,512972,366918,74957,48003,14483,1194,7417
Georgia 12th,GA-12,Republican,Rick,Allen,(RIK AL-en),/ɹɪk 'æ.lɛn/,2014,1951,Man,White - Non-Hispanic,Methodist,No,Re-elected,38.4,61.6,45.2,54.8,40.7,56.9,R+,9,43.6,55.4,R+,8,44.1,55.9,R+,10,60,32.5,4.5,1.7,0.2,1.1,20.8,356,24.2,356,"$42,336.00",384,38.4,61.6,45.2,54.8,53.7,46.3,126,,,,,166814,75478,91336,0,139148,119973,267674,108937,152204,268283,117085,148688,264400,116658,147742,-9.4,-7.9,-9.6,693660,396283,236068,36902,11267,1602,11538,519454,311535,168625,23397,8999,1268,5630
Georgia 13th,GA-13,Democratic,David,Scott,(DAY-vid SKAHT),/'deɪ.vɪd skɑt/,2002,1946,Man,Black - African-American,Baptist,No,Re-elected,100,0,100,0,71,26.6,D+,22,69.2,30,D+,18,67.5,32.5,D+,14,34.7,52.4,8.6,2.6,0.2,1.4,29.3,205,27,311,"$52,761.00",232,100,0,100,0,71.7,28.3,127,,,,,159445,159445,0,0,201988,79550,301238,213936,80157,292880,202794,87785,296083,199839,96244,21.6,17.8,13.8,687435,208589,375818,70119,17075,1500,14334,492458,170694,258203,42393,12899,1137,7132
Georgia 14th,GA-14,Republican,Tom,Graves,(TAHM GRAYVZ),/tɑm gɹeɪvz/,2010 Special,1970,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,100,0,100,22.1,75,R+,28,25.3,73.2,R+,26,28.2,71.8,R+,26,82,7.8,8.1,0.9,0.2,0.9,17,410,18.2,423,"$46,378.00",343,0,100,0,100,27,73,128,,,,,118782,0,118782,0,59245,159947,255872,56513,191849,232702,58906,170364,237076,66752,170324,-28.4,-26.3,-25.5,693048,547012,56855,71008,6384,1583,10206,509005,417325,39916,41299,4637,1215,4613
Hawaii 1st,HI-01,Democratic,Colleen,Hanabusa,(kuh-LEEN hah-nuh-BOO-suh),/kə.'lin ˌhɑ.nə.'bu.sə/,2016,1951,Woman,Asian - Japanese,Jodo Shinshu Buddhist,No,Vacant (Mark Takai) - Died,71.9,22.7,51.9,48.1,63.1,30.5,D+,16,69.7,29,D+,19,71.3,28.7,D+,18,18.3,1.8,5.7,61,0.2,13.1,34.3,126,50.4,52,"$77,156.00",56,76,24,51.9,48.1,54.6,45.4,129,,,,,179844,93390,86454,0,116505,96824,209300,132009,63916,216671,151023,62875,219415,156408,63007,16.3,18.6,17.6,678064,111982,12047,46905,395455,997,110678,537531,98207,9615,30437,327826,828,70618
Hawaii 2nd,HI-02,Democratic,Tulsi,Gabbard,(TUHL-si GAB-erd),/'tʌl.si 'gæ.bəɹd/,2012,1981,Woman,Pacific Islander - Samoan,Hindu,No,Re-elected,81.2,18.8,78.7,18.6,61.4,29.6,D+,16,71.4,26.7,D+,21,74.6,25.4,D+,21,33,1.2,8.7,38,0.3,18.8,28.3,225,41.7,112,"$70,420.00",83,81.2,18.8,80.9,19.1,80.5,19.5,130,,,,,180333,142010,33630,4693,168503,40707,219637,134882,64931,218026,155635,58140,227022,169463,57559,16.4,20.8,21,682237,197361,7857,73937,246061,1826,155195,518952,171323,6047,45137,197441,1495,97509
Idaho 1st,ID-01,Republican,Raúl,Labrador,(ra-OOL LAB-ruh-dor),/ɹæ.'ul 'læ.bɹə.dɔɹ/,2010,1967,Man,Hispanic - Puerto Rican,Mormon,No,Re-elected,31.8,68.2,35,65,25.4,63.7,R+,23,32.2,64.9,R+,19,36,64,R+,18,87.9,0.4,7.9,1.2,1.2,1.4,24.7,287,26.2,323,"$48,216.00",310,31.8,68.2,35,65,32.8,67.2,131,,,,,220864,77277,143580,7,97450,199402,359661,91284,229034,328258,105645,213080,322198,115925,206273,-22.6,-18.8,-17.7,784103,668447,3355,78672,9079,9123,15427,571430,502212,2124,45339,6872,6622,8261
Idaho 2nd,ID-02,Republican,Mike,Simpson,(MIKE SIMP-suhn),/maɪk 'sɪmp.sən/,1998,1950,Man,White - Non-Hispanic,Mormon,No,Re-elected,29.4,62.9,38.6,61.4,29.8,54.5,R+,16,33.1,64.1,R+,18,38,62,R+,16,85.4,0.6,10.1,1.6,1.1,1.2,27.4,236,29.5,265,"$48,363.00",308,31.8,68.2,38.6,61.4,34.8,65.2,132,,,,,214293,82801,131492,0,110847,207412,330594,98481,180021,324016,107142,207831,317254,120515,196739,-15.8,-17.9,-15.7,783479,647796,5520,97229,11603,8433,12898,567080,484317,3534,57447,8857,5962,6963
Illinois 1st,IL-01,Democratic,Bobby,Rush,(BAH-bee RUHSH),/'bɑ.bi ɹʌʃ/,1992,1946,Man,Black - African-American,Baptist,No,Re-elected,74.1,25.9,73.1,26.9,75.4,21.4,D+,27,78.9,20.2,D+,28,81.3,18.7,D+,28,37.4,52.1,7.4,2,0.1,1,26.9,245,36.2,170,"$48,295.00",309,74.1,25.9,73.1,26.9,73.8,26.2,133,,,,,222017,162268,59749,0,236854,83989,326175,245908,69956,332726,262668,67367,354339,288077,66262,26.7,27.6,27.6,712495,252627,374360,62637,12744,977,9150,533507,199662,277796,39223,10511,725,5590
Illinois 2nd,IL-02,Democratic,Robin,Kelly,(RAH-buhn KELL-ee),/'ɹɑ.bən 'kɛ.li/,2013 Special,1956,Woman,Black - African-American,Christian,No,Re-elected,79.8,20.2,78.5,21.4,78,19.1,D+,29,80.7,18.5,D+,29,81.6,18.4,D+,28,33.4,53.5,11.1,0.7,0.2,1.1,22,340,26.9,312,"$44,353.00",359,79.8,20.2,78.5,21.5,73.2,26.8,134,,,,,204266,160337,43799,130,188303,69115,303622,236726,58024,311173,251147,57674,330677,269943,60734,29.2,29.4,27.9,713236,210988,394458,91093,4813,1090,10794,522175,174661,279233,57885,3840,803,5753
Illinois 3rd,IL-03,Democratic,Dan,Lipinski,(DAN luh-PIN-skee),/dæn lə.'pɪn.ski/,2004,1966,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,100,0,64.6,35.4,55.2,39.9,D+,7,55.9,42.6,D+,5,59,41,D+,5,66.4,4.6,24.4,3.7,0.1,0.8,26.2,258,31.2,240,"$61,772.00",140,100,0,64.6,35.4,68.5,31.5,135,,,,,180855,116764,64091,0,168738,77653,284970,157383,113779,256893,143676,109396,270176,159475,110701,6.9,4.8,5.3,712113,442966,33004,202543,25408,700,7492,530768,352468,24196,129692,19738,524,4150
Illinois 4th,IL-04,Democratic,Luis,Gutiérrez,(loo-EES goo-tee-AIR-ez) [R is trilled],/lu.'is ˌgu.ti.'ɛ.rɛz/,1992,1953,Man,Hispanic - Puerto Rican,Roman Catholic,No,Re-elected,100,0,78.1,21.9,82.1,13.2,D+,35,80.9,17.1,D+,31,81.6,18.4,D+,28,26.2,3.9,65.8,3.1,0.1,0.8,23.4,313,48.2,63,"$46,805.00",332,100,0,78.1,21.9,83,17,136,,,,,101944,79666,22278,0,133226,27279,209931,172374,27807,169434,137065,28899,177716,144949,32767,35,30.6,27.9,714974,153066,28121,507444,18802,796,6745,509233,133575,19903,335187,15680,630,4258
Illinois 5th,IL-05,Democratic,Mike,Quigley,(MIKE KWIG-lee),/maɪk 'kwɪ.gli/,2008,1959,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,67.8,27.5,63.2,30.6,70.5,23.9,D+,24,66,31.8,D+,16,70.8,29.2,D+,17,73.3,2.5,16.1,6.7,0.1,1.3,52,19,58.7,24,"$76,963.00",59,71.2,28.8,67.4,32.6,69.7,30.3,137,,,,,184019,116364,56350,11305,177729,77289,326036,229937,78069,285239,188324,90747,303335,214869,88466,23.5,15.5,17.1,712744,500737,18191,133545,46674,1038,12559,582376,426788,14631,93619,38750,839,7749
Illinois 6th,IL-06,Republican,Peter,Roskam,(PEE-ter RAH-skum),/'pi.ɾəɹ 'ɹɑ.skəm/,2006,1961,Man,White - Non-Hispanic,Anglican,No,Re-elected,40.8,59.2,32.9,67.1,50.2,43.2,D+,3,45.1,53.3,R+,6,52,48,R+,2,81.6,2.3,7.4,7.7,0.1,0.9,49.5,24,51.9,46,"$93,474.00",17,40.8,59.2,32.9,67.1,40.8,59.2,138,,,,,238752,78465,160287,0,132991,193138,353766,177578,152909,336936,151937,179606,344467,179195,165272,2.6,-6.1,-1.7,713102,566319,17544,62309,55511,656,10763,531232,433579,12097,39493,40783,486,4794
Illinois 7th,IL-07,Democratic,Danny,Davis,(DAN-ee DAY-viss),/'dæ.ni 'deɪ.vɪs/,1996,1941,Man,Black - African-American,Baptist,No,Re-elected,84.2,15.8,85.1,14.9,87.4,9.2,D+,39,87.2,11.8,D+,36,90,10,D+,36,30.4,50,11.5,6.7,0.1,1.3,40.6,72,73.7,4,"$51,346.00",257,84.2,15.8,85.1,14.9,88.5,11.5,139,,,,,182278,155110,27168,0,242439,31466,310159,271100,28580,302887,264185,35713,315645,284117,31528,39.4,36.1,36.3,713505,187438,379266,93446,41349,984,11022,551986,167727,276123,63601,36733,778,7024
Illinois 8th,IL-08,Democratic,Raja,Krishnamoorthi,(RAH-jah krish-nuh-MOR-thee),/'ɹɑ.ʒɑ ˌkɹɪʃ.nə.'mɔɹ.θi/,2016,1972/1973,Man,Asian - Indian,Hindu,No,Open - Ran for Senate and won,58.3,41.7,55.7,44.3,58.1,36.4,D+,10,57.4,40.9,D+,6,62.4,37.6,D+,9,60.6,4,22.1,12,0.1,1.1,33.3,138,34.5,189,"$67,079.00",98,58.3,41.7,55.7,44.3,54.7,45.3,140,,,,,151056,84178,66878,0,123206,101860,255064,148233,92926,232123,133206,95031,241908,150851,91057,10.4,6.4,8.7,713275,394154,32457,189016,84946,934,11768,535959,324592,21672,118611,64345,620,6119
Illinois 9th,IL-09,Democratic,Jan,Schakowsky,(JANN shuh-COW-skee),/dʒæn ʃə.'kaʊ.ski/,1998,1944,Woman,White - Non-Hispanic,Jewish,No,Re-elected,66.5,33.5,66.1,33.9,70.1,24.9,D+,23,65,33.3,D+,14,69.4,30.6,D+,16,68,8.5,9.6,12.1,0.1,1.7,51.4,22,58,25,"$66,202.00",106,66.5,33.5,66.1,33.9,66.3,33.7,141,,,,,213450,141000,72384,66,194869,98924,339587,238096,84456,308492,200656,102689,320367,222256,98111,22.7,14.2,15.7,712631,468954,62213,78762,85469,981,16252,564386,383724,47909,54193,68137,764,9659
Illinois 10th,IL-10,Democratic,Brad,Schneider,(BRADD SHNAHY-der),/bɹæd 'ʃnaɪ.ɾəɹ/,2016,1961,Man,White - Non-Hispanic,Jewish,No,Defeated,52.6,47.4,48.7,51.3,62,32.6,D+,14,57.5,41.1,D+,6,63.7,36.3,D+,10,64.9,6.3,18.1,9.3,0.1,1.3,44.3,44,51.8,47,"$77,031.00",58,52.6,47.4,48.7,51.3,50.6,49.4,142,,,,,187128,91136,95992,0,133890,130564,288303,178857,94108,273616,157397,112555,283964,180786,103178,14.4,6.3,10,712264,433867,46852,152652,64843,1002,13048,525064,341009,32881,95020,48732,721,6701
Illinois 11th,IL-11,Democratic,Bill,Foster,(BILL FAW-ster),/bɪl 'fɔ.stəɹ/,"2012, 2008 Special-2010",1955,Man,White - Non-Hispanic,Unspecified,No,Re-elected,60.4,39.6,53.5,46.5,58.9,35.4,D+,11,57.8,40.6,D+,7,62.1,37.9,D+,8,59.8,10.4,21.8,6.8,0.1,1,33.4,136,39,139,"$67,065.00",99,60.4,39.6,53.5,46.5,58.6,41.4,143,,,,,174772,93436,81335,1,148928,105348,279620,164632,99104,263345,152265,107028,271563,168654,102909,11.3,6.8,8.4,711647,390596,77737,182106,48032,842,12334,508627,304278,52877,111090,34511,598,5273
Illinois 12th,IL-12,Republican,Mike,Bost,(MIKE BAWST),/maɪk bɔst/,2014,1960,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,39.7,54.3,41.9,52.5,40.2,55,R+,9,49.7,48.1,R+,1,55.7,44.3,D+,2,79.7,15.5,2.4,1.1,0.2,1,22.5,329,23.4,367,"$46,803.00",333,42.2,57.8,44.4,55.6,54.7,45.3,144,,,,,209738,87860,110038,11840,157000,129902,315846,126817,173693,310294,154346,149339,321904,179180,142724,-8.9,-1.1,2,712791,550069,120416,20708,7333,1592,12673,547710,436641,84898,13357,5810,1297,5707
Illinois 13th,IL-13,Republican,Rodney,Davis,(RAHD-nee DAY-viss),/'ɹɑd.ni 'deɪ.vɪs/,2012,1970,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,40.3,59.7,41.3,58.7,44.2,49.7,R+,4,48.6,48.9,R+,2,55.6,44.4,D+,2,83.5,9.1,2.5,3.5,0.2,1.2,30.8,174,30.6,248,"$50,211.00",277,40.3,59.7,41.3,58.7,49.8,50.2,145,,,,,210272,86935,123337,0,136032,137034,319979,141541,159013,301088,146442,147377,314865,175215,139650,-4,-2.1,2,710999,577477,73967,20798,23112,1320,14325,561827,469043,50983,14323,19746,1076,6656
Illinois 14th,IL-14,Republican,Randy,Hultgren,(RAN-dee HOLT-grin),/'ɹæn.di 'hoʊlt.gɹɪn/,2010,1966,Man,White - Non-Hispanic,Evangelical,No,Re-elected,40.7,59.3,34.6,65.4,44.8,48.7,R+,3,44.2,54.2,R+,7,51.2,48.8,R+,2,83.5,2.4,9.4,3.8,0.1,0.8,40,76,41.2,118,"$86,050.00",29,40.7,59.3,34.6,65.4,41.2,58.8,146,,,,,222230,76861,145369,0,124351,177603,343417,153989,167348,316591,139858,171582,318283,163089,155194,-3.2,-7.1,-2.4,711895,574230,18814,80049,28205,898,9699,508613,424746,12216,47669,19479,640,3863
Illinois 15th,IL-15,Republican,John,Shimkus,(JAHN SHIM-cuss),/dʒɑn 'ʃɪm.kəs/,1996,1958,Man,White - Non-Hispanic,Lutheran,No,Re-elected,0,100,25.1,74.9,24.5,70.7,R+,25,34.1,63.9,R+,17,43.6,56.4,R+,10,92.8,3.9,1.9,0.5,0.2,0.7,19,394,19.6,417,"$49,136.00",297,0,100,25.1,74.9,31.4,68.6,147,,,,,221926,55652,166274,0,94162,205775,320442,78574,226605,308463,105065,197243,320230,139536,180694,-25.4,-17.2,-10.1,713428,655000,28591,16305,3849,1374,8309,550135,510625,21249,10318,2967,1109,3867
